Feature Set,Model,Primary Sample AUC (all),PR-AUC,F1,Balanced Acc.,MCC,Brier,Sensitivity,Specificity,Sample AUC (non-mixed),Patient AUC (non-mixed),Bootstrap Mean (primary),CI Lower (95%),CI Upper (95%),N Samples,N Non-mixed Patients,N Mixed Patients
cells_cols,RandomForest,0.8007590132827322,0.637260480540817,0.6875,0.7590132827324478,0.5345086526345906,0.178457240887404,0.6470588235294118,0.8709677419354839,0.7596153846153846,0.8333333333333334,0.8062,0.6658,0.9353,48,28,4
cells_cols,LogisticRegression,0.7571157495256167,0.6615948342852238,0.6486486486486487,0.7239089184060721,0.4344228714374682,0.20058983559980748,0.7058823529411765,0.7419354838709677,0.7660256410256411,0.8055555555555556,0.7695,0.6378,0.9063,48,28,4
cells_cols,LightGBM,0.6072106261859583,0.5398485827426867,0.5333333333333333,0.6546489563567363,0.3328714888226089,0.2399788739675527,0.47058823529411764,0.8387096774193549,0.6057692307692308,0.6888888888888889,0.6283,0.4679,0.8032,48,28,4
cells_cols,XGBoost,0.5996204933586338,0.5619459347111404,0.5625,0.6679316888045541,0.34654956599385545,0.23435073105516305,0.5294117647058824,0.8064516129032258,0.6346153846153847,0.7055555555555555,0.6154,0.4663,0.8076,48,28,4
