Feature Set,Model,Primary Sample AUC (all),PR-AUC,F1,Balanced Acc.,MCC,Brier,Sensitivity,Specificity,Sample AUC (non-mixed),Patient AUC (non-mixed),Bootstrap Mean (primary),CI Lower (95%),CI Upper (95%),N Samples,N Non-mixed Patients,N Mixed Patients
pathways,LogisticRegression,0.8937381404174574,0.8605063909562181,0.7777777777777778,0.8311195445920303,0.6476558906374444,0.19517250856115123,0.8235294117647058,0.8387096774193549,0.8814102564102564,0.8944444444444445,0.8996,0.7871,0.9785,48,28,4
pathways,RandomForest,0.8007590132827325,0.7355284981582559,0.6666666666666666,0.74573055028463,0.5289185006445136,0.19314298664543453,0.5882352941176471,0.9032258064516129,0.8205128205128205,0.8499999999999999,0.8165,0.6581,0.9433,48,28,4
pathways,LightGBM,0.7286527514231499,0.7249969434809955,0.7096774193548387,0.7751423149905123,0.5790141989929938,0.21114454322504816,0.6470588235294118,0.9032258064516129,0.7692307692307693,0.8166666666666668,0.7518,0.5813,0.9118,48,28,4
pathways,XGBoost,0.7172675521821632,0.7149821093383204,0.7096774193548387,0.7751423149905123,0.5790141989929938,0.21433813892079737,0.6470588235294118,0.9032258064516129,0.7532051282051282,0.8222222222222222,0.7363,0.5399,0.9155,48,28,4
