,CCC_Sender_CCL5_to_CCR1,CCC_Sender_HLA-F_to_LILRB2,CCC_Sender_HLA-B_to_KIR3DL2,CCC_Sender_HLA-C_to_KIR2DL3,CCC_Sender_HLA-E_to_KLRC2,CCC_Sender_HLA-G_to_LILRB2,CCC_Sender_CCL5_to_CCR5,CCC_Receiver_LGALS9_to_P4HB
CCC_Sender_CCL5_to_CCR1,,0.0032841015623411773,0.003117366002694838,0.0017776219203787214,0.001995932672253293,0.002642103221815531,0.001668024846731792,0.002385768476028521
CCC_Sender_HLA-F_to_LILRB2,0.003284101562341177,,0.0019046732338322185,0.0029219132367210078,0.002142770543437981,0.0009129554349214346,0.0022246529822120592,0.0007618254084606962
CCC_Sender_HLA-B_to_KIR3DL2,0.003117366002694839,0.0019046732338322187,,0.0019131081967834944,0.0010648017844758697,0.0008827768082473063,0.0016088528065542104,0.0009039653385280813
CCC_Sender_HLA-C_to_KIR2DL3,0.0017776219203787214,0.002921913236721008,0.0019131081967834942,,0.0009716725601012165,0.0022950962409862374,0.0008203437938165744,0.0005758241554820191
CCC_Sender_HLA-E_to_KLRC2,0.001995932672253293,0.0021427705434379804,0.0010648017844758694,0.0009716725601012164,,0.001884856859467429,0.0008181757202795583,0.0007566218814649671
CCC_Sender_HLA-G_to_LILRB2,0.0026421032218155315,0.0009129554349214343,0.0008827768082473064,0.0022950962409862374,0.001884856859467429,,0.0009320127019963561,0.0005373495152004279
CCC_Sender_CCL5_to_CCR5,0.001668024846731792,0.002224652982212059,0.001608852806554211,0.0008203437938165744,0.0008181757202795582,0.0009320127019963561,,0.0008066609256165906
CCC_Receiver_LGALS9_to_P4HB,0.002385768476028521,0.000761825408460696,0.0009039653385280812,0.0005758241554820191,0.0007566218814649671,0.000537349515200428,0.0008066609256165906,
