fold,held_patient,ligand,receptor,ligand_receptor_pair,Receiver,Sender,pair_importance
2,P10,CCL2,CCR2,CCL2 → CCR2,0.00013265896784914473,2.69283701306596e-05,0.00015958733797980434
2,P10,CCL3,CCR1,CCL3 → CCR1,9.706513190529577e-05,0.012034754415084298,0.012131819546989595
2,P10,CCL3,CCR5,CCL3 → CCR5,0.006640011450767662,0.004517349979899749,0.011157361430667413
2,P10,CCL3L1,CCR1,CCL3L1 → CCR1,0.0008854949996203551,0.0005277833717828352,0.0014132783714031903
2,P10,CCL4,CCR5,CCL4 → CCR5,0.004596868920992366,0.01373847070581791,0.018335339626810276
2,P10,CCL5,CCR1,CCL5 → CCR1,0.00013663365864118932,0.08276752495766668,0.08290415861630787
2,P10,CCL5,CCR4,CCL5 → CCR4,7.417865095104408e-05,0.010403031283738609,0.010477209934689653
2,P10,CCL5,CCR5,CCL5 → CCR5,0.0014728236049081375,0.03549313507394718,0.03696595867885531
2,P10,CD274,PDCD1,CD274 → PDCD1,0.00227803817505304,4.300361676906283e-05,0.0023210417918221025
2,P10,CD40LG,CD40,CD40LG → CD40,0.00022931710878635282,9.70234381881809e-05,0.00032634054697453375
2,P10,CD86,CD28,CD86 → CD28,0.0020557506510805908,6.422586224471497e-05,0.002119976513325306
2,P10,CD86,CTLA4,CD86 → CTLA4,0.0028952618624701215,0.00037687678504029693,0.0032721386475104185
2,P10,CSF1,CSF1R,CSF1 → CSF1R,0.0009551068561996042,0.00023088505123090644,0.0011859919074305107
2,P10,CXCL13,CXCR5,CXCL13 → CXCR5,0.0002538516017498119,0.0006816298658025178,0.0009354814675523297
2,P10,CXCL16,CXCR6,CXCL16 → CXCR6,0.0007094947949044314,0.00035261134188694076,0.0010621061367913722
2,P10,CXCL2,DPP4,CXCL2 → DPP4,0.00012501644469898462,5.6838868807261763e-05,0.00018185531350624638
2,P10,FASLG,FAS,FASLG → FAS,0.0013379891561320582,0.00027218838835867966,0.0016101775444907378
2,P10,HLA-B,KIR3DL2,HLA-B → KIR3DL2,7.549459465088626e-05,0.09063051584265844,0.09070601043730932
2,P10,HLA-C,KIR2DL3,HLA-C → KIR2DL3,1.6827930834116837e-05,0.01582269253595215,0.015839520466786265
2,P10,HLA-E,KLRC1,HLA-E → KLRC1,0.00014618472677754748,0.02865674174507581,0.028802926471853358
2,P10,HLA-E,KLRC2,HLA-E → KLRC2,0.00014271908674544625,0.04881434299966919,0.048957062086414635
2,P10,HLA-E,KLRK1,HLA-E → KLRK1,0.0013083998640822142,0.026474737321005137,0.02778313718508735
2,P10,HLA-F,KIR3DL2,HLA-F → KIR3DL2,0.00013227659815011502,0.029458753695272056,0.02959103029342217
2,P10,HLA-F,LILRB1,HLA-F → LILRB1,0.00018218664773574547,0.0032195900676171576,0.0034017767153529032
2,P10,HLA-F,LILRB2,HLA-F → LILRB2,0.000304738628603477,0.014900753853720673,0.01520549248232415
2,P10,HLA-G,LILRB1,HLA-G → LILRB1,0.0002555663020583098,0.00595668732478417,0.006212253626842479
2,P10,HLA-G,LILRB2,HLA-G → LILRB2,9.566926547008322e-05,0.008324951201195523,0.008420620466665606
2,P10,ICAM1,ITGAL,ICAM1 → ITGAL,0.004082433263625393,0.00031258370432600796,0.004395016967951401
2,P10,ICOSLG,ICOS,ICOSLG → ICOS,0.0009485938898238814,8.675075400812061e-05,0.0010353446438320021
2,P10,LGALS9,HAVCR2,LGALS9 → HAVCR2,0.0067583903622526025,0.013242079589086972,0.020000469951339576
2,P10,LGALS9,P4HB,LGALS9 → P4HB,0.032462976972908425,0.005359776235980381,0.03782275320888881
2,P10,LTA,TNFRSF14,LTA → TNFRSF14,0.003190751233981971,0.00012714662105449287,0.0033178978550364637
2,P10,LTA,TNFRSF1A,LTA → TNFRSF1A,0.0003957064590752693,0.00017640444502077906,0.0005721109040960484
2,P10,LTA,TNFRSF1B,LTA → TNFRSF1B,0.004133399731749879,0.00017059464769025154,0.004303994379440131
2,P10,LTB,LTBR,LTB → LTBR,0.0001872159983185845,0.004015830401537489,0.004203046399856073
2,P10,PVR,CD226,PVR → CD226,0.00010005926731642042,1.3090524358782213e-05,0.00011314979167520263
2,P10,PVR,CD96,PVR → CD96,0.002923927875957788,1.0679853958834944e-05,0.002934607729916623
2,P10,PVR,TIGIT,PVR → TIGIT,0.0022260267334625414,1.1830471829094579e-05,0.002237857205291636
2,P10,SELPLG,SELL,SELPLG → SELL,0.0022110233670362494,0.0023261114681251286,0.0045371348351613775
2,P10,TGFB1,TGFBR3,TGFB1 → TGFBR3,0.00019543925730647677,0.00015997112012876503,0.0003554103774352418
2,P10,TNF,TNFRSF1A,TNF → TNFRSF1A,0.0004093170954890913,0.002100497088289151,0.002509814183778242
2,P10,TNF,TNFRSF1B,TNF → TNFRSF1B,0.0029827218336968544,0.00043263402268069737,0.003415355856377552
2,P10,TNFSF10,TNFRSF10A,TNFSF10 → TNFRSF10A,0.00011731649019615095,0.0002640833152074804,0.00038139980540363136
2,P10,TNFSF10,TNFRSF10B,TNFSF10 → TNFRSF10B,0.0003469014642125491,0.0006271075049089921,0.0009740089691215412
2,P10,TNFSF10,TNFRSF10D,TNFSF10 → TNFRSF10D,7.951462359486686e-05,0.00047715262017441215,0.000556667243769279
2,P10,TNFSF12,TNFRSF12A,TNFSF12 → TNFRSF12A,2.753564470774206e-05,6.0529926142301666e-05,8.806557085004373e-05
2,P10,TNFSF12,TNFRSF25,TNFSF12 → TNFRSF25,0.0008877575914724145,0.00019838700175034223,0.0010861445932227568
2,P10,TNFSF14,LTBR,TNFSF14 → LTBR,0.0004657001382463441,0.0005801905394634196,0.0010458906777097638
2,P10,TNFSF14,TNFRSF14,TNFSF14 → TNFRSF14,0.005172099070254558,0.00012719435306989284,0.00529929342332445
2,P10,TNFSF4,TNFRSF4,TNFSF4 → TNFRSF4,0.00038010102072153764,1.758044281832154e-05,0.00039768146353985916
2,P10,TNFSF9,TNFRSF9,TNFSF9 → TNFRSF9,0.00029720223307035055,0.00025211621964204374,0.0005493184527123943
2,P10,VEGFA,NRP1,VEGFA → NRP1,0.000451947316156565,0.00014818413028326903,0.000600131446439834
2,P10,VEGFA,NRP2,VEGFA → NRP2,2.0063698159766115e-05,0.00010623351004505098,0.0001262972082048171
2,P10,VEGFB,NRP1,VEGFB → NRP1,0.0002149853915599715,0.00029307590500344985,0.0005080612965634214
3,P11,BTLA,TNFRSF14,BTLA → TNFRSF14,0.0034115644510929323,3.7828904609734157e-06,0.003415347341553906
3,P11,CCL2,CCR2,CCL2 → CCR2,0.0006881514448732513,0.0,0.0006881514448732513
3,P11,CCL3,CCR1,CCL3 → CCR1,5.129521851431171e-05,0.01436488434057498,0.014416179559089292
3,P11,CCL3,CCR5,CCL3 → CCR5,0.0065739236481693174,0.00665471771587265,0.013228641364041968
3,P11,CCL3L1,CCR1,CCL3L1 → CCR1,0.0016097792737512291,0.0003764256344853013,0.0019862049082365303
3,P11,CCL4,CCR5,CCL4 → CCR5,0.004597756125938511,0.008248573326933495,0.012846329452872006
3,P11,CCL5,CCR1,CCL5 → CCR1,0.00012039465435689659,0.13203519716859802,0.13215559182295492
3,P11,CCL5,CCR4,CCL5 → CCR4,3.84554234223066e-05,0.01948035997070564,0.019518815394127947
3,P11,CCL5,CCR5,CCL5 → CCR5,0.0017860122558607772,0.026456588370246753,0.02824260062610753
