fold,held_patient,feature,importance,method,role,ligand,receptor,ligand_receptor_pair
1,P1,CCC_Receiver_HLA-F_to_LILRB2,1.2921974117212538e-05,shap_tree,Receiver,HLA-F,LILRB2,HLA-F → LILRB2
1,P1,CCC_Sender_HLA-G_to_LILRB1,0.0008725606564982182,shap_tree,Sender,HLA-G,LILRB1,HLA-G → LILRB1
1,P1,CCC_Receiver_HLA-G_to_LILRB1,2.5399455792043057e-05,shap_tree,Receiver,HLA-G,LILRB1,HLA-G → LILRB1
1,P1,CCC_Sender_HLA-G_to_LILRB2,0.010295052953824144,shap_tree,Sender,HLA-G,LILRB2,HLA-G → LILRB2
1,P1,CCC_Receiver_HLA-G_to_LILRB2,2.412076811506545e-05,shap_tree,Receiver,HLA-G,LILRB2,HLA-G → LILRB2
1,P1,CCC_Sender_LTB_to_LTBR,0.0006456958872955149,shap_tree,Sender,LTB,LTBR,LTB → LTBR
1,P1,CCC_Receiver_LTB_to_LTBR,5.0947539435974614e-05,shap_tree,Receiver,LTB,LTBR,LTB → LTBR
1,P1,CCC_Sender_PVR_to_CD226,5.259846119618491e-06,shap_tree,Sender,PVR,CD226,PVR → CD226
1,P1,CCC_Receiver_PVR_to_CD226,0.0,shap_tree,Receiver,PVR,CD226,PVR → CD226
1,P1,CCC_Sender_PVR_to_CD96,1.7078521420024005e-06,shap_tree,Sender,PVR,CD96,PVR → CD96
1,P1,CCC_Receiver_PVR_to_CD96,0.009070899108575092,shap_tree,Receiver,PVR,CD96,PVR → CD96
1,P1,CCC_Sender_PVR_to_TIGIT,0.0,shap_tree,Sender,PVR,TIGIT,PVR → TIGIT
1,P1,CCC_Receiver_PVR_to_TIGIT,0.002793372548633121,shap_tree,Receiver,PVR,TIGIT,PVR → TIGIT
1,P1,CCC_Sender_SELPLG_to_SELL,0.0009351673604016209,shap_tree,Sender,SELPLG,SELL,SELPLG → SELL
1,P1,CCC_Receiver_SELPLG_to_SELL,0.0001365694511647553,shap_tree,Receiver,SELPLG,SELL,SELPLG → SELL
1,P1,CCC_Sender_TGFB1_to_TGFBR3,0.0002553499013902767,shap_tree,Sender,TGFB1,TGFBR3,TGFB1 → TGFBR3
1,P1,CCC_Receiver_TGFB1_to_TGFBR3,9.328126160842799e-05,shap_tree,Receiver,TGFB1,TGFBR3,TGFB1 → TGFBR3
1,P1,CCC_Sender_BTLA_to_TNFRSF14,2.3015126413763866e-06,shap_tree,Sender,BTLA,TNFRSF14,BTLA → TNFRSF14
1,P1,CCC_Receiver_BTLA_to_TNFRSF14,0.0006560457114361204,shap_tree,Receiver,BTLA,TNFRSF14,BTLA → TNFRSF14
1,P1,CCC_Sender_FASLG_to_FAS,0.0,shap_tree,Sender,FASLG,FAS,FASLG → FAS
1,P1,CCC_Receiver_FASLG_to_FAS,5.0148694927466274e-05,shap_tree,Receiver,FASLG,FAS,FASLG → FAS
1,P1,CCC_Sender_LTA_to_TNFRSF14,0.0,shap_tree,Sender,LTA,TNFRSF14,LTA → TNFRSF14
1,P1,CCC_Receiver_LTA_to_TNFRSF14,0.0007563051927682979,shap_tree,Receiver,LTA,TNFRSF14,LTA → TNFRSF14
1,P1,CCC_Sender_LTA_to_TNFRSF1A,0.0,shap_tree,Sender,LTA,TNFRSF1A,LTA → TNFRSF1A
1,P1,CCC_Receiver_LTA_to_TNFRSF1A,1.4133136065725066e-05,shap_tree,Receiver,LTA,TNFRSF1A,LTA → TNFRSF1A
1,P1,CCC_Sender_LTA_to_TNFRSF1B,1.2918934653358809e-05,shap_tree,Sender,LTA,TNFRSF1B,LTA → TNFRSF1B
1,P1,CCC_Receiver_LTA_to_TNFRSF1B,0.0020382692934277835,shap_tree,Receiver,LTA,TNFRSF1B,LTA → TNFRSF1B
1,P1,CCC_Sender_TNF_to_TNFRSF1A,0.00038248069872321095,shap_tree,Sender,TNF,TNFRSF1A,TNF → TNFRSF1A
1,P1,CCC_Receiver_TNF_to_TNFRSF1A,0.00030495004628793715,shap_tree,Receiver,TNF,TNFRSF1A,TNF → TNFRSF1A
1,P1,CCC_Sender_TNF_to_TNFRSF1B,1.6141989140675594e-06,shap_tree,Sender,TNF,TNFRSF1B,TNF → TNFRSF1B
1,P1,CCC_Receiver_TNF_to_TNFRSF1B,0.004874911800504321,shap_tree,Receiver,TNF,TNFRSF1B,TNF → TNFRSF1B
1,P1,CCC_Sender_TNFSF10_to_TNFRSF10A,1.4164093011825633e-05,shap_tree,Sender,TNFSF10,TNFRSF10A,TNFSF10 → TNFRSF10A
1,P1,CCC_Receiver_TNFSF10_to_TNFRSF10A,0.0,shap_tree,Receiver,TNFSF10,TNFRSF10A,TNFSF10 → TNFRSF10A
1,P1,CCC_Sender_TNFSF10_to_TNFRSF10B,3.285618073436428e-05,shap_tree,Sender,TNFSF10,TNFRSF10B,TNFSF10 → TNFRSF10B
1,P1,CCC_Receiver_TNFSF10_to_TNFRSF10B,0.0,shap_tree,Receiver,TNFSF10,TNFRSF10B,TNFSF10 → TNFRSF10B
1,P1,CCC_Sender_TNFSF10_to_TNFRSF10D,8.566336778743306e-06,shap_tree,Sender,TNFSF10,TNFRSF10D,TNFSF10 → TNFRSF10D
1,P1,CCC_Receiver_TNFSF10_to_TNFRSF10D,0.0,shap_tree,Receiver,TNFSF10,TNFRSF10D,TNFSF10 → TNFRSF10D
1,P1,CCC_Sender_TNFSF12_to_TNFRSF12A,0.0,shap_tree,Sender,TNFSF12,TNFRSF12A,TNFSF12 → TNFRSF12A
1,P1,CCC_Receiver_TNFSF12_to_TNFRSF12A,0.0,shap_tree,Receiver,TNFSF12,TNFRSF12A,TNFSF12 → TNFRSF12A
1,P1,CCC_Sender_TNFSF12_to_TNFRSF25,8.604206951960727e-07,shap_tree,Sender,TNFSF12,TNFRSF25,TNFSF12 → TNFRSF25
1,P1,CCC_Receiver_TNFSF12_to_TNFRSF25,0.00011163541563829845,shap_tree,Receiver,TNFSF12,TNFRSF25,TNFSF12 → TNFRSF25
1,P1,CCC_Sender_TNFSF14_to_LTBR,0.0,shap_tree,Sender,TNFSF14,LTBR,TNFSF14 → LTBR
1,P1,CCC_Receiver_TNFSF14_to_LTBR,0.0003669988704775833,shap_tree,Receiver,TNFSF14,LTBR,TNFSF14 → LTBR
1,P1,CCC_Sender_TNFSF14_to_TNFRSF14,4.908029572396609e-06,shap_tree,Sender,TNFSF14,TNFRSF14,TNFSF14 → TNFRSF14
1,P1,CCC_Receiver_TNFSF14_to_TNFRSF14,0.0017213533990524887,shap_tree,Receiver,TNFSF14,TNFRSF14,TNFSF14 → TNFRSF14
1,P1,CCC_Sender_TNFSF4_to_TNFRSF4,0.0,shap_tree,Sender,TNFSF4,TNFRSF4,TNFSF4 → TNFRSF4
1,P1,CCC_Receiver_TNFSF4_to_TNFRSF4,0.0,shap_tree,Receiver,TNFSF4,TNFRSF4,TNFSF4 → TNFRSF4
1,P1,CCC_Sender_TNFSF9_to_TNFRSF9,0.00019637638550016974,shap_tree,Sender,TNFSF9,TNFRSF9,TNFSF9 → TNFRSF9
1,P1,CCC_Receiver_TNFSF9_to_TNFRSF9,7.280730366890989e-05,shap_tree,Receiver,TNFSF9,TNFRSF9,TNFSF9 → TNFRSF9
1,P1,CCC_Sender_VEGFA_to_NRP1,0.0,shap_tree,Sender,VEGFA,NRP1,VEGFA → NRP1
1,P1,CCC_Receiver_VEGFA_to_NRP1,8.80495170843719e-05,shap_tree,Receiver,VEGFA,NRP1,VEGFA → NRP1
1,P1,CCC_Sender_VEGFA_to_NRP2,0.0,shap_tree,Sender,VEGFA,NRP2,VEGFA → NRP2
1,P1,CCC_Receiver_VEGFA_to_NRP2,0.0,shap_tree,Receiver,VEGFA,NRP2,VEGFA → NRP2
1,P1,CCC_Sender_VEGFB_to_NRP1,0.0,shap_tree,Sender,VEGFB,NRP1,VEGFB → NRP1
1,P1,CCC_Receiver_VEGFB_to_NRP1,6.0739269109122196e-05,shap_tree,Receiver,VEGFB,NRP1,VEGFB → NRP1
1,P1,CCC_Sender_CD274_to_PDCD1,0.00022890585281552334,shap_tree,Sender,CD274,PDCD1,CD274 → PDCD1
1,P1,CCC_Receiver_CD274_to_PDCD1,0.010755585692302823,shap_tree,Receiver,CD274,PDCD1,CD274 → PDCD1
1,P1,CCC_Sender_CD86_to_CTLA4,0.00022140213762359158,shap_tree,Sender,CD86,CTLA4,CD86 → CTLA4
1,P1,CCC_Receiver_CD86_to_CTLA4,0.0018950271675810945,shap_tree,Receiver,CD86,CTLA4,CD86 → CTLA4
1,P1,CCC_Sender_CD86_to_CD28,0.0,shap_tree,Sender,CD86,CD28,CD86 → CD28
1,P1,CCC_Receiver_CD86_to_CD28,4.618122613945272e-05,shap_tree,Receiver,CD86,CD28,CD86 → CD28
1,P1,CCC_Sender_ICOSLG_to_ICOS,0.0,shap_tree,Sender,ICOSLG,ICOS,ICOSLG → ICOS
1,P1,CCC_Receiver_ICOSLG_to_ICOS,4.461350056040333e-05,shap_tree,Receiver,ICOSLG,ICOS,ICOSLG → ICOS
1,P1,CCC_Sender_CD40LG_to_CD40,5.167820911062243e-07,shap_tree,Sender,CD40LG,CD40,CD40LG → CD40
1,P1,CCC_Receiver_CD40LG_to_CD40,0.0,shap_tree,Receiver,CD40LG,CD40,CD40LG → CD40
2,P10,CCC_Sender_ICAM1_to_ITGAL,0.00031258370432600796,shap_tree,Sender,ICAM1,ITGAL,ICAM1 → ITGAL
2,P10,CCC_Receiver_ICAM1_to_ITGAL,0.004082433263625393,shap_tree,Receiver,ICAM1,ITGAL,ICAM1 → ITGAL
2,P10,CCC_Sender_CCL2_to_CCR2,2.69283701306596e-05,shap_tree,Sender,CCL2,CCR2,CCL2 → CCR2
2,P10,CCC_Receiver_CCL2_to_CCR2,0.00013265896784914473,shap_tree,Receiver,CCL2,CCR2,CCL2 → CCR2
2,P10,CCC_Sender_CCL3_to_CCR1,0.012034754415084298,shap_tree,Sender,CCL3,CCR1,CCL3 → CCR1
2,P10,CCC_Receiver_CCL3_to_CCR1,9.706513190529577e-05,shap_tree,Receiver,CCL3,CCR1,CCL3 → CCR1
2,P10,CCC_Sender_CCL3_to_CCR5,0.004517349979899749,shap_tree,Sender,CCL3,CCR5,CCL3 → CCR5
2,P10,CCC_Receiver_CCL3_to_CCR5,0.006640011450767662,shap_tree,Receiver,CCL3,CCR5,CCL3 → CCR5
2,P10,CCC_Sender_CCL3L1_to_CCR1,0.0005277833717828352,shap_tree,Sender,CCL3L1,CCR1,CCL3L1 → CCR1
2,P10,CCC_Receiver_CCL3L1_to_CCR1,0.0008854949996203551,shap_tree,Receiver,CCL3L1,CCR1,CCL3L1 → CCR1
2,P10,CCC_Sender_CCL4_to_CCR5,0.01373847070581791,shap_tree,Sender,CCL4,CCR5,CCL4 → CCR5
2,P10,CCC_Receiver_CCL4_to_CCR5,0.004596868920992366,shap_tree,Receiver,CCL4,CCR5,CCL4 → CCR5
2,P10,CCC_Sender_CCL5_to_CCR1,0.08276752495766668,shap_tree,Sender,CCL5,CCR1,CCL5 → CCR1
2,P10,CCC_Receiver_CCL5_to_CCR1,0.00013663365864118932,shap_tree,Receiver,CCL5,CCR1,CCL5 → CCR1
2,P10,CCC_Sender_CCL5_to_CCR4,0.010403031283738609,shap_tree,Sender,CCL5,CCR4,CCL5 → CCR4
