fold,held_patient,feature,importance,method
6,P14,PROGENy_TNFa,0.24797607119325918,shap_linear_training_background
6,P14,PROGENy_Trail,0.06900346866410813,shap_linear_training_background
6,P14,PROGENy_VEGF,0.0605234782493299,shap_linear_training_background
6,P14,PROGENy_WNT,0.09748468110528026,shap_linear_training_background
6,P14,PROGENy_p53,0.158687093239969,shap_linear_training_background
7,P15,PROGENy_Androgen,0.07227208126740185,shap_linear_training_background
7,P15,PROGENy_EGFR,0.19843878677774696,shap_linear_training_background
7,P15,PROGENy_Estrogen,0.1195910477841714,shap_linear_training_background
7,P15,PROGENy_Hypoxia,0.0597416934889812,shap_linear_training_background
7,P15,PROGENy_JAK-STAT,0.1781892959897969,shap_linear_training_background
7,P15,PROGENy_MAPK,0.1516019740428736,shap_linear_training_background
7,P15,PROGENy_NFkB,0.07638822614987077,shap_linear_training_background
7,P15,PROGENy_PI3K,0.11103479964028018,shap_linear_training_background
7,P15,PROGENy_TGFb,0.0590795687837558,shap_linear_training_background
7,P15,PROGENy_TNFa,0.08538497858751865,shap_linear_training_background
7,P15,PROGENy_Trail,0.06114708639512923,shap_linear_training_background
7,P15,PROGENy_VEGF,0.03345469797704196,shap_linear_training_background
7,P15,PROGENy_WNT,0.07510345713381039,shap_linear_training_background
7,P15,PROGENy_p53,0.12103944322987355,shap_linear_training_background
8,P16,PROGENy_Androgen,0.10630500945906078,shap_linear_training_background
8,P16,PROGENy_EGFR,0.20511676875912366,shap_linear_training_background
8,P16,PROGENy_Estrogen,0.09603493226694489,shap_linear_training_background
8,P16,PROGENy_Hypoxia,0.08542226870936939,shap_linear_training_background
8,P16,PROGENy_JAK-STAT,0.2982849259831765,shap_linear_training_background
8,P16,PROGENy_MAPK,0.18422034642848698,shap_linear_training_background
8,P16,PROGENy_NFkB,0.2619646486510188,shap_linear_training_background
8,P16,PROGENy_PI3K,0.17315623033393251,shap_linear_training_background
8,P16,PROGENy_TGFb,0.09996198783746667,shap_linear_training_background
8,P16,PROGENy_TNFa,0.2484819161273484,shap_linear_training_background
8,P16,PROGENy_Trail,0.05934454861620406,shap_linear_training_background
8,P16,PROGENy_VEGF,0.06259818287387275,shap_linear_training_background
8,P16,PROGENy_WNT,0.08183251571851353,shap_linear_training_background
8,P16,PROGENy_p53,0.2252903326044138,shap_linear_training_background
9,P17,PROGENy_Androgen,0.09231023327882439,shap_linear_training_background
9,P17,PROGENy_EGFR,0.18705709794718983,shap_linear_training_background
9,P17,PROGENy_Estrogen,0.09688435754439387,shap_linear_training_background
9,P17,PROGENy_Hypoxia,0.08380015527265537,shap_linear_training_background
9,P17,PROGENy_JAK-STAT,0.29816848473452073,shap_linear_training_background
9,P17,PROGENy_MAPK,0.1946214980464227,shap_linear_training_background
9,P17,PROGENy_NFkB,0.21118819968929167,shap_linear_training_background
9,P17,PROGENy_PI3K,0.14642734331142812,shap_linear_training_background
9,P17,PROGENy_TGFb,0.08978314513179557,shap_linear_training_background
9,P17,PROGENy_TNFa,0.2332904417975687,shap_linear_training_background
9,P17,PROGENy_Trail,0.07559603284203813,shap_linear_training_background
9,P17,PROGENy_VEGF,0.05349403857434325,shap_linear_training_background
9,P17,PROGENy_WNT,0.08649696966211776,shap_linear_training_background
9,P17,PROGENy_p53,0.13959308422099598,shap_linear_training_background
10,P18,PROGENy_Androgen,0.0637828872821692,shap_linear_training_background
10,P18,PROGENy_EGFR,0.1748034462340769,shap_linear_training_background
10,P18,PROGENy_Estrogen,0.0633593819833419,shap_linear_training_background
10,P18,PROGENy_Hypoxia,0.04757475800497175,shap_linear_training_background
10,P18,PROGENy_JAK-STAT,0.1921669803591975,shap_linear_training_background
10,P18,PROGENy_MAPK,0.11972432898013989,shap_linear_training_background
10,P18,PROGENy_NFkB,0.07078140776152025,shap_linear_training_background
10,P18,PROGENy_PI3K,0.11340515508411987,shap_linear_training_background
10,P18,PROGENy_TGFb,0.053938475669554196,shap_linear_training_background
