feature,feature_value_scaled,shap_value,fold,held_patient
CCC_Receiver_LGALS9_to_P4HB,0.3598827904088758,0.008531308957277337,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.3002412615949076,0.005590472734288715,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.18212771579628467,0.006052109154015682,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.2613202697403747,0.007222402000364903,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006479863999318189,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.42833962317453017,0.00917125344644753,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.005926579640270331,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.00790340815684453,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.2826996783840888,0.007676373673712291,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.20729627039270213,0.007467134320841811,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.14648537564660485,0.00588990182303421,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.1842513359673657,0.0063515313943506985,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.3481883286530711,0.008227198545422452,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.5072324541227143,0.005671344208527269,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.005734241936481016,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006513798845246394,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.4896907250147113,0.0058113566580311775,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006633309248844386,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006598612957156194,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006303615971710988,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006535828001466612,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.22170110061546194,0.008038336917102906,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006638382830065595,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.11684176689565168,0.006436856252990901,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.41601592963208806,0.007781850024602309,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006393789102154579,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007770958478468064,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007468813152940847,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.4171853685128093,0.005776483659267572,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.008113547854299435,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.5013851867705159,0.006355126580219382,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.38154304660027755,0.005963194326951177,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.16435497220201617,0.007334158360856548,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.005658946269123571,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.19862387273303345,0.00658168273729022,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.22107695246104542,0.006461921516840653,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.17552521166958016,0.007809374717245859,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006554039563681206,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006029178094109367,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.2955635060720226,0.006219952656262409,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007062054396589367,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.2113637607629081,0.008785114524495713,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.20200817676854596,0.005302651805709636,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.17426474665092512,0.006701405427301941,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.0075477047375843865,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.07876785409313893,0.00654430351328512,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.023217391749707144,0.006222687362891177,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.13262771910847895,0.008328055270216439,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.10186188292099083,0.006578894554718015,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007473506351918228,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006627433686263036,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.00744791774807443,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.16224718187543122,0.005754008519147104,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.0074359525196310335,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.07751959425860198,0.005976413684697862,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.00588990182303421,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.11612871717663642,0.008323702979282694,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.40782985746703926,0.007893040083929801,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.0359475639117595,0.008282622037366466,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007152024774397314,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.29907182271418636,0.005627998215669112,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006393160487722637,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007354105606969699,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.392627152017663,0.008924582530791604,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007632907279504785,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.11282888761083106,0.008428558585683673,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.4218631240356943,0.006663581780952744,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.47682689732677747,0.004785072474109612,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.0070031449094383235,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.2780219228612038,0.006561501801284263,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.4373100613715814,0.006554951582072877,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006347622636907641,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006663568995141288,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.005776516404777361,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.3458495238402208,0.0063238938946400544,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.11684176689565168,0.005863572322678238,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006500807907263453,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.006671643076012563,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.005807136200662124,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007603549554560756,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.1447270455507039,0.0065488008823753685,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.48618248132113967,0.005684196900601465,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.17806026190037474,0.007467134320841811,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.5569592434514261,0.006053775573109287,1,P1
CCC_Receiver_LGALS9_to_P4HB,0.33281609067554335,0.006732876440756469,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.008919410407965728,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.0067804624097008714,1,P1
CCC_Receiver_LGALS9_to_P4HB,-0.6692256130835909,0.007473506351918228,1,P1
