stage,n_cells,n_patients,n_high_variance_genes,patient_silhouette,same_patient_neighbor_fraction,normalized_patient_neighbor_entropy,response_silhouette
Before Harmony,4800,32,2000,-0.09107797592878342,0.3167638888888889,0.575912891477221,0.03777413070201874
After Harmony,4800,32,2000,-0.14493444981718392,0.058625,0.840032598567457,0.027508730106626234
