,IFI6,MT2A,WARS,CCL4L1,CCR7,ISG15,GBP1,SAT1
IFI6,,0.0075596053757180925,0.021496344066690654,0.009109052956773667,0.005227414229011629,0.005796889696284779,0.005556875003329027,0.0018537032009105807
MT2A,0.0075596053757180925,,0.0042035464921355015,0.0037874107711104443,0.004419319500584606,0.0011645896693224245,0.0023110641219142463,0.0013060401094750682
WARS,0.021496344066690654,0.0042035464921355015,,0.0020796278837167392,0.0018419608613839955,0.002440356412307665,0.0006966661680229252,0.0007874060135632575
CCL4L1,0.009109052956773667,0.0037874107711104443,0.0020796278837167392,,0.0008861525709562557,0.0009162371570141659,0.0030245494403530874,0.0009658314026872235
CCR7,0.005227414229011629,0.004419319500584606,0.0018419608613839955,0.0008861525709562557,,0.002163605110666822,0.0012183411702226881,0.0010262362437412863
ISG15,0.005796889696284779,0.0011645896693224245,0.002440356412307665,0.0009162371570141659,0.002163605110666822,,0.0005926228901268089,0.0006617809294473245
GBP1,0.005556875003329027,0.0023110641219142463,0.0006966661680229252,0.0030245494403530874,0.0012183411702226881,0.0005926228901268089,,0.0004937545413364812
SAT1,0.0018537032009105807,0.0013060401094750682,0.0007874060135632575,0.0009658314026872235,0.0010262362437412863,0.0006617809294473245,0.0004937545413364812,
